date,category,revenue,orders,region
2024-01-01,Electronics,5000,50,South
2024-01-02,Clothing,3200,32,North
2024-01-03,Electronics,7200,68,South
2024-01-04,Groceries,2100,40,West
2024-01-05,Clothing,3800,35,East
2024-01-06,Electronics,8100,72,South
2024-01-07,Groceries,2600,44,West
2024-01-08,Electronics,7900,70,South
2024-01-09,Clothing,3400,30,North
2024-01-10,Groceries,2300,42,West
2024-01-11,Electronics,8500,75,South
2024-01-12,Clothing,3600,33,East
2024-01-13,Electronics,9000,80,South
2024-01-14,Groceries,2700,46,West
2024-01-15,Clothing,4000,38,North
2024-01-16,Electronics,9200,85,South
2024-01-17,Groceries,2500,41,West
2024-01-18,Clothing,3700,34,East
2024-01-19,Electronics,8800,78,South
2024-01-20,Groceries,2900,48,West
2024-01-21,Electronics,9500,88,South
2024-01-22,Clothing,4200,39,North
2024-01-23,Groceries,3100,50,West
2024-01-24,Electronics,9700,90,South
2024-01-25,Clothing,4500,42,East
2024-01-26,Groceries,3300,52,West
2024-01-27,Electronics,9900,92,South
2024-01-28,Clothing,4700,44,North
2024-01-29,Groceries,3500,55,West
2024-01-30,Electronics,10200,95,South
